Geneid,ENSEMBL,SYMBOL,GENENAME,Fetal 1: SRX683826,Fetal 2: SRX683824,Fetal 3: SRX683825,Adult 1: SRX683793,Adult 2: SRX683794,Adult 3: SRX683797
100033603,ENSG00000199833,SNORD115-21,"small nucleolar RNA, C/D box 115-21",2,2,7,10,1,1
100033799,ENSG00000201326,SNORD115-22,"small nucleolar RNA, C/D box 115-22",0,2,1,22,0,0
100033800,ENSG00000201331,SNORD115-23,"small nucleolar RNA, C/D box 115-23",0,0,0,0,0,0
100033801,ENSG00000199489,SNORD115-25,"small nucleolar RNA, C/D box 115-25",0,0,0,0,0,0
100033802,ENSG00000275524,SNORD115-26,"small nucleolar RNA, C/D box 115-26",4,0,6,10,0,0
100033803,ENSG00000199704,SNORD115-29,"small nucleolar RNA, C/D box 115-29",0,0,0,0,0,0
100033804,ENSG00000200987,SNORD115-30,"small nucleolar RNA, C/D box 115-30",0,0,0,0,0,0
100033805,ENSG00000202188,SNORD115-31,"small nucleolar RNA, C/D box 115-31",0,0,1,0,0,0
100033806,ENSG00000200949,SNORD115-32,"small nucleolar RNA, C/D box 115-32",0,0,0,4,0,0
100033807,ENSG00000200593,SNORD115-33,"small nucleolar RNA, C/D box 115-33",0,0,0,0,0,0
100033808,ENSG00000199311,SNORD115-34,"small nucleolar RNA, C/D box 115-34",4,0,0,0,0,0
100033809,ENSG00000201992,SNORD115-35,"small nucleolar RNA, C/D box 115-35",2,0,0,12,3,3
100033810,ENSG00000202499,SNORD115-36,"small nucleolar RNA, C/D box 115-36",0,0,0,4,0,0
100033811,ENSG00000200638,SNORD115-37,"small nucleolar RNA, C/D box 115-37",0,0,0,5,2,2
100033812,ENSG00000201907,SNORD115-38,"small nucleolar RNA, C/D box 115-38",0,6,0,0,0,0
100033813,ENSG00000200564,SNORD115-39,"small nucleolar RNA, C/D box 115-39",0,0,0,6,0,0
100033814,ENSG00000272460,SNORD115-40,"small nucleolar RNA, C/D box 115-40",0,0,0,0,1,1
100033815,ENSG00000200478,SNORD115-41,"small nucleolar RNA, C/D box 115-41",2,0,2,5,0,0
100033816,ENSG00000201143,SNORD115-42,"small nucleolar RNA, C/D box 115-42",0,0,0,0,0,0
100033817,ENSG00000202373,SNORD115-43,"small nucleolar RNA, C/D box 115-43",0,0,1,0,0,0
100033818,ENSG00000202261,SNORD115-44,"small nucleolar RNA, C/D box 115-44",0,0,0,2,0,0
100033819,ENSG00000284010,MIR675,microRNA 675,0,0,0,0,0,0
100033820,ENSG00000278123,SNORD116-28,"small nucleolar RNA, C/D box 116-28",15,12,4,0,0,0
100033821,ENSG00000207245,SNORD116-29,"small nucleolar RNA, C/D box 116-29",2,2,1,2,0,0
100033822,ENSG00000201634,SNORD115-48,"small nucleolar RNA, C/D box 115-48",0,0,1,0,0,0
100036519,NA,NA,NA,18,11,2,2,2,2
100036563,ENSG00000200398,SNORD115-24,"small nucleolar RNA, C/D box 115-24",0,0,0,6,0,0
100036564,ENSG00000201300,SNORD115-27,"small nucleolar RNA, C/D box 115-27",0,0,0,4,0,0
100036565,ENSG00000200801,SNORD115-28,"small nucleolar RNA, C/D box 115-28",0,0,0,0,0,0
100036566,NA,SNORD115-45,"small nucleolar RNA, C/D box 115-45",25,16,27,44,1,1
100036567,NA,SNORD115-47,"small nucleolar RNA, C/D box 115-47",2,0,2,0,0,0
100037417,ENSG00000099974,DDTL,D-dopachrome tautomerase like,162,275,147,185,25,25
100038246,ENSG00000236311,TLX1NB,TLX1 neighbor,0,0,0,1,0,0
10004,ENSG00000168060,NAALADL1,N-acetylated alpha-linked acidic dipeptidase like 1,124,235,149,125,54,54
100048912,ENSG00000240498,CDKN2B-AS1,CDKN2B antisense RNA 1,9,6,9,22,4,4
100049076,NA,GUSBP17,GUSB pseudogene 17,327,366,262,8,3,3
100049587,ENSG00000254415,SIGLEC14,sialic acid binding Ig like lectin 14,60,49,13,27,1,1
100049615,NA,NA,NA,0,0,1,0,0,0
100049716,ENSG00000177406,NINJ2-AS1,NINJ2 antisense RNA 1,355,355,245,699,167,167
10005,ENSG00000101473,ACOT8,acyl-CoA thioesterase 8,2305,2595,1225,4191,293,293
10006,ENSG00000136754,ABI1,abl interactor 1,9632,8855,7282,15376,1995,1995
10007,ENSG00000113552,GNPDA1,glucosamine-6-phosphate deaminase 1,5879,7413,2958,6057,545,545
100073347,ENSG00000268654,MIMT1,MER1 repeat containing imprinted transcript 1,623,788,249,63,33,33
10008,ENSG00000175538,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3,237,582,168,138,53,53
10009,ENSG00000177485,ZBTB33,zinc finger and BTB domain containing 33,12422,12190,7334,4420,385,385
100093630,ENSG00000269893,SNHG8,small nucleolar RNA host gene 8,2613,4474,1646,2485,611,611
100093631,ENSG00000233369,GTF2IP4,general transcription factor IIi pseudogene 4,3060,3871,1820,1745,208,208
1001,ENSG00000062038,CDH3,cadherin 3,1446,2480,1102,411,75,75
10010,ENSG00000136560,TANK,TRAF family member associated NFKB activator,7429,7192,3375,3206,399,399
100101115,ENSG00000237563,TTTY21B,"testis-specific transcript, Y-linked 21B",0,0,0,0,0,0
100101116,ENSG00000129816,TTTY1B,"testis-specific transcript, Y-linked 1B",0,0,0,0,0,0
100101117,NA,TTTY2B,"testis-specific transcript, Y-linked 2B",0,0,0,0,0,0
100101118,ENSG00000185700,TTTY8B,"testis-specific transcript, Y-linked 8B",0,0,0,0,0,0
100101120,ENSG00000147761,TTTY7B,"testis-specific transcript, Y-linked 7B",0,0,0,0,0,0
100101121,ENSG00000250204,TTTY23B,"testis-specific transcript, Y-linked 23B",0,0,0,0,0,0
100101266,ENSG00000268442,HAVCR1P1,hepatitis A virus cellular receptor 1 pseudogene 1,207,249,190,26,23,23
100101267,ENSG00000272391,POM121C,POM121 transmembrane nucleoporin C,10973,9565,4982,5948,459,459
100101467,ENSG00000186814,ZSCAN30,zinc finger and SCAN domain containing 30,9288,9699,4875,3086,403,403
100101490,ENSG00000101898,MCTS2P,"MCTS family member 2, pseudogene",1047,1218,728,348,31,31
100101938,ENSG00000237636,ANKRD26P3,ankyrin repeat domain 26 pseudogene 3,0,2,0,24,0,0
10011,ENSG00000213523,SRA1,steroid receptor RNA activator 1,6330,7537,3245,3552,528,528
100113378,NA,SNORD119,"small nucleolar RNA, C/D box 119",8,26,6,6,1,1
100113379,ENSG00000238886,SNORD121A,"small nucleolar RNA, C/D box 121A",4,2,2,0,0,0
100113380,ENSG00000239127,SNORD125,"small nucleolar RNA, C/D box 125",45,47,13,28,3,3
100113381,ENSG00000238862,SNORD19B,"small nucleolar RNA, C/D box 19B",135,133,67,16,3,3
100113382,ENSG00000238531,SNORD105B,"small nucleolar RNA, C/D box 105B",0,3,0,2,0,0
100113384,NA,SNORD123,"small nucleolar RNA, C/D box 123",1,12,1,0,0,0
100113385,NA,NA,NA,69,102,17,2,0,0
100113386,ENSG00000280213,UCKL1-AS1,UCKL1 antisense RNA 1,272,507,155,75,6,6
100113389,ENSG00000239043,SNORD127,"small nucleolar RNA, C/D box 127",22,20,22,9,0,0
100113390,NA,NA,NA,141,222,51,22,0,0
100113391,NA,SNORD126,"small nucleolar RNA, C/D box 126",0,0,0,0,0,0
100113392,ENSG00000271852,SNORD11B,"small nucleolar RNA, C/D box 11B",2,0,2,0,0,0
100113393,ENSG00000222365,SNORD12B,"small nucleolar RNA, C/D box 12B",73,41,12,0,2,2
100113402,NA,SNORD111B,"small nucleolar RNA, C/D box 111B",0,0,0,0,0,0
100113407,ENSG00000205269,TMEM170B,transmembrane protein 170B,16822,14720,10483,12089,1503,1503
100124412,ENSG00000248893,FAM138E,family with sequence similarity 138 member E,0,1,0,1,0,0
100124516,NA,SNORD58C,"small nucleolar RNA, C/D box 58C",172,276,110,63,3,3
100124533,NA,SCARNA27,small Cajal body-specific RNA 27,62,31,23,4,2,2
100124534,ENSG00000239183,SNORA84,"small nucleolar RNA, H/ACA box 84",14,2,3,4,0,0
100124535,ENSG00000207016,SNORA36C,"small nucleolar RNA, H/ACA box 36C",0,0,0,0,0,0
100124536,ENSG00000200394,SNORA38B,"small nucleolar RNA, H/ACA box 38B",15,16,5,0,0,0
100124537,ENSG00000206937,SNORA70B,"small nucleolar RNA, H/ACA box 70B",0,2,3,8,0,0
100124538,ENSG00000207268,SNORA70C,"small nucleolar RNA, H/ACA box 70C",4,0,1,0,0,0
100124539,ENSG00000221102,SNORA11B,"small nucleolar RNA, H/ACA box 11B",0,0,0,0,0,0
100124540,ENSG00000221459,SNORA11C,"small nucleolar RNA, H/ACA box 11C",0,4,0,0,0,0
100124541,ENSG00000221475,SNORA11D,"small nucleolar RNA, H/ACA box 11D",6,5,1,0,0,0
100124542,NA,NA,NA,3,13,2,0,0,0
100124692,NA,NA,NA,82,59,18,8,2,2
100124700,ENSG00000228630,HOTAIR,HOX transcript antisense RNA,0,0,0,0,0,0
100125288,ENSG00000220201,ZGLP1,zinc finger GATA like protein 1,1696,3392,1049,978,156,156
100125556,ENSG00000171084,FAM86JP,"family with sequence similarity 86, member A pseudogene",103,183,98,333,32,32
100126270,ENSG00000268066,FMR1-AS1,FMR1 antisense RNA 1,37,10,14,6,0,0
100126296,ENSG00000216031,MIR298,microRNA 298,2,4,0,0,0,0
100126297,ENSG00000215957,MIR300,microRNA 300,0,0,0,4,0,0
100126299,ENSG00000278815,VTRNA2-1,vault RNA 2-1,0,0,0,0,0,0
100126300,NA,NA,NA,0,0,0,0,0,0
100126301,ENSG00000212013,MIR509-2,microRNA 509-2,0,0,0,0,0,0
100126302,ENSG00000216001,MIR450B,microRNA 450b,0,0,0,0,0,0
100126303,ENSG00000216075,MIR890,microRNA 890,0,0,0,0,0,0
100126304,ENSG00000216064,MIR891B,microRNA 891b,0,0,0,0,0,0
100126306,ENSG00000216005,MIR888,microRNA 888,0,0,0,0,0,0
100126307,ENSG00000216098,MIR892B,microRNA 892b,0,0,0,2,0,0
100126308,ENSG00000216179,MIR541,microRNA 541,2,4,0,0,0,0
100126309,ENSG00000216069,MIR875,microRNA 875,0,4,0,0,0,0
100126310,ENSG00000215966,MIR876,microRNA 876,0,0,0,0,0,0
100126311,ENSG00000284386,MIR147B,microRNA 147b,0,0,0,0,0,0
100126313,ENSG00000266297,MIR744,microRNA 744,2,7,3,0,0,0
100126314,ENSG00000216101,MIR877,microRNA 877,0,0,0,0,0,0
100126315,ENSG00000283159,MIR665,microRNA 665,0,0,0,0,0,0
100126316,ENSG00000215939,MIR873,microRNA 873,0,2,0,0,0,0
100126317,ENSG00000212027,MIR374B,microRNA 374b,29,26,24,8,0,0
100126318,ENSG00000212102,MIR301B,microRNA 301b,0,0,0,0,0,0
100126319,ENSG00000211520,MIR216B,microRNA 216b,0,0,0,0,0,0
100126320,ENSG00000216192,MIR920,microRNA 920,3,10,1,0,0,0
100126321,ENSG00000284146,MIR922,microRNA 922,0,0,0,0,0,0
100126323,ENSG00000283615,MIR924,microRNA 924,0,0,0,0,0,0
100126324,ENSG00000216060,MIR934,microRNA 934,0,0,0,0,0,0
100126325,ENSG00000284583,MIR935,microRNA 935,0,0,0,0,0,0
100126326,ENSG00000283788,MIR936,microRNA 936,0,0,0,0,0,0
100126327,ENSG00000216035,MIR938,microRNA 938,3,0,0,0,0,0
100126328,ENSG00000284346,MIR940,microRNA 940,26,45,25,31,7,7
100126329,ENSG00000283206,MIR941-1,microRNA 941-1,19,9,1,4,1,1
100126331,ENSG00000215930,MIR942,microRNA 942,2,7,0,0,0,0
100126332,ENSG00000284587,MIR943,microRNA 943,14,4,6,6,0,0
100126333,ENSG00000211997,MIR708,microRNA 708,2,0,0,3,0,0
100126334,ENSG00000216135,MIR885,microRNA 885,0,0,0,0,0,0
100126335,ENSG00000212040,MIR543,microRNA 543,0,0,2,0,0,0
100126336,ENSG00000215991,MIR208B,microRNA 208b,0,0,0,0,0,0
100126337,ENSG00000212014,MIR509-3,microRNA 509-3,0,0,0,0,0,0
100126338,ENSG00000284224,MIR937,microRNA 937,0,0,0,0,0,0
100126339,ENSG00000216141,MIR941-2,microRNA 941-2,3,2,0,0,0,0
100126340,ENSG00000216058,MIR944,microRNA 944,0,0,0,0,0,0
100126341,ENSG00000216056,MIR891A,microRNA 891a,0,0,0,0,0,0
100126342,ENSG00000215943,MIR892A,microRNA 892a,0,0,0,2,0,0
100126343,ENSG00000216009,MIR874,microRNA 874,0,0,0,0,0,0
100126344,NA,NA,NA,0,0,0,0,0,0
100126345,ENSG00000216099,MIR889,microRNA 889,0,0,0,0,0,0
100126346,ENSG00000215938,MIR190B,microRNA 190b,0,0,0,0,0,0
100126347,ENSG00000216077,MIR887,microRNA 887,8,5,0,0,1,1
100126348,ENSG00000211575,MIR760,microRNA 760,30,11,22,17,0,0
100126349,ENSG00000215952,MIR921,microRNA 921,0,0,0,0,0,0
100126350,ENSG00000215973,MIR933,microRNA 933,4,4,0,0,0,0
100126351,ENSG00000284310,MIR939,microRNA 939,0,0,0,0,0,0
100126354,ENSG00000215961,MIR297,microRNA 297,0,0,0,0,0,0
100126355,ENSG00000199130,MIR365A,microRNA 365a,0,0,0,0,0,0
100126356,ENSG00000283978,MIR365B,microRNA 365b,0,0,0,0,0,0
100126447,NA,LOC100126447,uncharacterized LOC100126447,0,4,1,5,0,0
100126582,NA,NA,NA,40,25,9,3,1,1
100126693,NA,LINC00322,long intergenic non-protein coding RNA 322,19,67,2,0,19,19
100126780,NA,SNAR-G1,small NF90 (ILF3) associated RNA G1,0,0,1,0,0,0
100126781,NA,SNAR-F,small NF90 (ILF3) associated RNA F,1,0,0,0,0,0
100126784,NA,LOC100126784,uncharacterized LOC100126784,659,697,656,2576,111,111
100126791,ENSG00000235947,EGOT,eosinophil granule ontogeny transcript,1,10,2,0,0,0
100126793,ENSG00000240288,GHRLOS,ghrelin opposite strand/antisense RNA,95,126,48,47,28,28
100126798,NA,SNAR-A1,small NF90 (ILF3) associated RNA A1,0,0,0,0,0,0
100126799,NA,SNAR-A2,small NF90 (ILF3) associated RNA A2,0,0,0,0,0,0
100126800,NA,SNAR-A12,small NF90 (ILF3) associated RNA A12,0,0,0,0,0,0
100127206,ENSG00000186367,MINAR2,membrane integral NOTCH2 associated receptor 2,2,5,0,22,0,0
100127885,NA,NA,NA,0,4,4,17,0,0
100127888,ENSG00000232803,SLCO4A1-AS1,SLCO4A1 antisense RNA 1,14,20,7,12,0,0
100127889,NA,NA,NA,68,73,28,27,3,3
100127891,NA,NA,NA,282,288,98,105,22,22
100127909,NA,NA,NA,0,0,0,3,0,0
100127910,NA,NA,NA,0,6,25,230,13,13
100127919,NA,LOC100127919,developmental pluripotency associated 3 pseudogene,0,0,0,2,0,0
100127946,NA,NA,NA,3,0,0,4,3,3
100127950,ENSG00000181211,HECW1-IT1,HECW1 intronic transcript 1,38,57,25,2,0,0
100127961,NA,NA,NA,15,15,10,4,2,2
100127974,NA,NA,NA,103,108,78,24,7,7
100127983,ENSG00000253250,C8orf88,chromosome 8 open reading frame 88,351,256,121,63,41,41
100127987,NA,NA,NA,10,20,15,13,2,2
100128002,NA,LOC100128002,uncharacterized LOC100128002,35,29,25,25,2,2
100128003,NA,NA,NA,2012,3033,1041,495,95,95
100128023,NA,DPPA2P3,developmental pluripotency associated 2 pseudogene 3,0,0,0,0,0,0
100128028,NA,NA,NA,141,130,16,55,2,2
100128031,NA,NA,NA,0,0,0,0,0,0
100128054,ENSG00000268894,PLCE1-AS1,PLCE1 antisense RNA 1,305,268,98,23,12,12
100128055,ENSG00000245112,SMARCA5-AS1,SMARCA5 antisense RNA 1,13,2,4,4,0,0
100128059,ENSG00000250274,LOC100128059,uncharacterized LOC100128059,0,4,2,5,0,0
100128064,NA,NA,NA,14,1,1,60,4,4
100128071,ENSG00000225828,FAM229A,family with sequence similarity 229 member A,238,333,144,288,111,111
100128076,NA,LOC100128076,protein tyrosine phosphatase pseudogene,11,17,16,60,5,5
100128077,NA,NA,NA,27,18,12,10,0,0
100128081,NA,JAZF1-AS1,JAZF1 antisense RNA 1,16,4,25,754,22,22
100128095,NA,NA,NA,42,48,10,32,1,1
100128098,ENSG00000204832,ST8SIA6-AS1,ST8SIA6 antisense RNA 1,4,0,2,8,3,3
100128105,NA,NA,NA,7,12,11,5,0,0
100128124,ENSG00000235994,HGC6.3,uncharacterized LOC100128124,2,13,15,4,8,8
100128130,NA,NA,NA,2,19,7,26,6,6
100128131,NA,NA,NA,2118,2140,1031,99,47,47
100128139,ENSG00000269364,LINC01233,long intergenic non-protein coding RNA 1233,2,0,3,0,1,1
100128155,NA,NA,NA,14,28,17,0,0,0
100128160,NA,NA,NA,0,0,0,0,0,0
100128164,ENSG00000239219,LOC100128164,four and a half LIM domains 1 pseudogene,63,66,54,56,13,13
100128174,ENSG00000254700,DEFB131C,defensin beta 131C (pseudogene),0,0,0,0,0,0
100128191,ENSG00000257167,TMPO-AS1,TMPO antisense RNA 1,673,888,268,81,9,9
100128239,ENSG00000204241,LINC02731,long intergenic non-protein coding RNA 2731,246,332,123,957,91,91
100128242,NA,NA,NA,580,203,210,8,0,0
100128252,ENSG00000166770,ZNF667-AS1,ZNF667 antisense RNA 1 (head to head),7757,5100,4502,6458,749,749
100128253,NA,LOC100128253,uncharacterized LOC100128253,37,16,34,281,8,8
100128254,NA,FAM90A28P,"family with sequence similarity 90 member A28, pseudogene",0,3,3,0,0,0
100128256,NA,NA,NA,0,0,0,0,0,0
100128260,ENSG00000185203,WASIR1,WASH and IL9R antisense RNA 1,1,1,0,1,0,0
100128262,NA,TNK2-AS1,TNK2 antisense RNA 1,31,31,11,26,2,2
100128264,ENSG00000220575,HTR5A-AS1,HTR5A antisense RNA 1,8,12,54,2280,26,26
100128270,NA,NA,NA,0,0,0,0,0,0
100128276,NA,LOC100128276,uncharacterized LOC100128276,57,145,30,163,19,19
100128278,NA,NA,NA,4,4,9,0,0,0
100128285,NA,DNM1P35,dynamin 1 pseudogene 35,612,975,900,632,58,58
100128288,NA,LOC100128288,uncharacterized LOC100128288,5232,4814,3012,694,102,102
100128292,NA,DLG5-AS1,DLG5 antisense RNA 1,566,627,281,198,31,31
100128300,NA,NA,NA,2868,4048,1706,718,95,95
100128302,NA,SDHCP2,succinate dehydrogenase complex subunit C pseudogene 2,4,2,3,13,1,1
100128304,NA,NA,NA,158,144,41,94,4,4
100128310,ENSG00000179253,LOC100128310,uncharacterized LOC100128310,35,28,86,0,0,0
100128326,NA,NA,NA,17,8,14,42,7,7
100128327,ENSG00000173626,TRAPPC3L,trafficking protein particle complex 3 like,0,8,4,8,0,0
100128334,ENSG00000235713,LOC100128334,gap junction protein gamma 3 pseudogene,3,25,5,0,0,0
100128338,NA,NA,NA,220,331,190,181,27,27
100128340,NA,LOC100128340,uncharacterized LOC100128340,105,73,58,87,9,9
100128342,NA,NA,NA,461,303,227,130,15,15
100128343,NA,NA,NA,46,55,28,10,0,0
100128346,NA,NA,NA,112,135,114,43,8,8
100128355,ENSG00000182888,RPS27AP20,RPS27A pseudogene 20,16,7,2,3,0,0
100128361,NA,LOC100128361,uncharacterized LOC100128361,863,793,279,137,27,27
100128364,NA,NA,NA,3581,1021,3371,1481,61,61
100128371,NA,NA,NA,12,12,3,3,0,0
100128374,NA,NA,NA,15,8,48,72,19,19
100128378,NA,LINC00696,long intergenic non-protein coding RNA 696,6,22,0,0,0,0
100128385,ENSG00000225684,FAM225B,family with sequence similarity 225 member B,0,0,0,20,4,4
100128398,ENSG00000176593,LOC100128398,uncharacterized LOC100128398,5618,4176,3363,1070,162,162
100128406,NA,NA,NA,163,61,170,68,12,12
100128460,NA,NA,NA,278,323,78,420,39,39
100128482,NA,NA,NA,7,34,2,0,0,0
100128496,NA,SCP2D1-AS1,SCP2D1 antisense RNA 1,4,0,0,0,0,0
100128505,ENSG00000229105,ASTN2-AS1,ASTN2 antisense RNA 1,4,11,5,4,0,0
100128508,NA,NA,NA,3,11,5,6,0,0
100128511,ENSG00000231920,NEBL-AS1,NEBL antisense RNA 1,0,11,42,93,28,28
100128542,NA,BET1P1,Bet1 golgi vesicular membrane trafficking protein pseudogene 1,4,4,2,12,3,3
100128553,ENSG00000225932,CTAGE4,CTAGE family member 4,4,2,2,6,0,0
100128554,ENSG00000214043,LINC02347,long intergenic non-protein coding RNA 2347,8,0,63,278,5,5
100128563,NA,NA,NA,7,49,23,23,2,2
100128569,ENSG00000183397,C19orf71,chromosome 19 open reading frame 71,1608,1879,734,710,60,60
100128573,NA,NA,NA,48,35,11,14,1,1
100128574,NA,ARMCX3-AS1,ARMCX3 antisense RNA 1,47,33,14,3,11,11
100128590,ENSG00000227028,SLC8A1-AS1,SLC8A1 antisense RNA 1,50,48,84,16,0,0
100128593,NA,LOC100128593,uncharacterized LOC100128593,0,11,2,39,3,3
100128596,NA,NDUFB9P2,NADH:ubiquinone oxidoreductase subunit B9 pseudogene 2,2,16,2,16,5,5
100128640,ENSG00000229589,ACVR2B-AS1,ACVR2B antisense RNA 1,960,756,396,127,17,17
100128644,NA,NA,NA,198,286,38,44,8,8
100128653,NA,LOC100128653,uncharacterized LOC100128653,378,372,120,124,28,28
100128655,ENSG00000220556,LOC100128655,ribosomal protein S2 pseudogene,0,0,0,0,0,0
100128675,ENSG00000227392,HPN-AS1,HPN antisense RNA 1,0,2,1,648,22,22
100128726,NA,NA,NA,51,66,49,32,9,9
100128731,ENSG00000228474,OST4,"oligosaccharyltransferase complex subunit 4, non-catalytic",4166,5427,2863,2823,1059,1059
100128737,NA,NA,NA,327,511,179,248,60,60
